Messaging type: Chat Room
Messaging account: 2ndteamsqa.mailinator.com@bria-x403328.bria-x.net
Create time: 2021-02-03 11:22:53
Recipient(s): 1stteamsqa.mailinator.com@bria-x403328.bria-x.net;6thteamsqa.mailinator.com@bria-x403328.bria-x.net;7thteamsqa.mailinator.com@bria-x403328.bria-x.net;8thteamsqa.mailinator.com@bria-x403328.bria-x.net;9thteamsqa.mailinator.com@bria-x403328.bria-x.net;


sender,date,message
8thteamsqa.mailinator.com,2021-02-02 16:42:53,"Test 4:42 PM"
7thteamsqa.mailinator.com,2021-02-02 16:52:04,"Test 4:52PM"
9thteamsqa.mailinator.com,2021-02-03 10:52:05,"https://randomwordgenerator.com/sentence.php"
9thteamsqa.mailinator.com,2021-02-03 10:52:54,"The white water rafting trip was suddenly halted by the unexpected brick wall.
Warm beer on a cold day isn't my idea of fun."
9thteamsqa.mailinator.com,2021-02-03 10:53:02,"The tears of a clown make my lipstick run, but my shower cap is still intact.
A kangaroo is really just a rabbit on steroids."
8thteamsqa.mailinator.com,2021-02-03 10:56:46,"I inadvertently went to See's Candy last week (I was in the mall looking for phone repair), and as it turns out, See's Candy now charges a dollar -- a full dollar -- for even the simplest of their wee confection offerings. I bought two chocolate lollipops and two chocolate-caramel-almond things."
8thteamsqa.mailinator.com,2021-02-03 10:56:46,"I inadvertently went to See's Candy last week (I was in the mall looking for phone repair), and as it turns out, See's Candy now charges a dollar -- a full dollar -- for even the simplest of their wee confection offerings. I bought two chocolate lollipops and two chocolate-caramel-almond things."
8thteamsqa.mailinator.com,2021-02-03 10:56:55,"The total cost was four-something. I mean, the candies were tasty and all, but let's be real: A Snickers bar is fifty cents. After this dollar-per-candy revelation, I may not find myself wandering dreamily back into a See's Candy any time soon."
8thteamsqa.mailinator.com,2021-02-03 10:56:55,"The total cost was four-something. I mean, the candies were tasty and all, but let's be real: A Snickers bar is fifty cents. After this dollar-per-candy revelation, I may not find myself wandering dreamily back into a See's Candy any time soon."
8thteamsqa.mailinator.com,2021-02-03 10:57:17,"What was beyond the bend in the stream was unknown. Both were curious, but only one was brave enough to want to explore."
8thteamsqa.mailinator.com,2021-02-03 10:57:17,"What was beyond the bend in the stream was unknown. Both were curious, but only one was brave enough to want to explore."
8thteamsqa.mailinator.com,2021-02-03 10:57:29,"I'm meant to be writing at this moment. What I mean is, I'm meant to be writing something else at this moment."
8thteamsqa.mailinator.com,2021-02-03 10:57:29,"I'm meant to be writing at this moment. What I mean is, I'm meant to be writing something else at this moment."
7thteamsqa.mailinator.com,2021-02-03 11:00:32,"Sleeping in his car was never the plan but sometimes things don't work out as planned. This had been his life for the last three months and he was just beginning to get used to it."
7thteamsqa.mailinator.com,2021-02-03 11:00:32,"Sleeping in his car was never the plan but sometimes things don't work out as planned. This had been his life for the last three months and he was just beginning to get used to it."
7thteamsqa.mailinator.com,2021-02-03 11:00:39,"Don't be scared. The things out there that are unknown aren't scary in themselves."
7thteamsqa.mailinator.com,2021-02-03 11:00:39,"Don't be scared. The things out there that are unknown aren't scary in themselves."
6thteamsqa.mailinator.com,2021-02-03 11:02:15,"You can decide what you want to do in life, but I suggest doing something that creates. Something that leaves a tangible thing once you're done."
6thteamsqa.mailinator.com,2021-02-03 11:02:15,"You can decide what you want to do in life, but I suggest doing something that creates. Something that leaves a tangible thing once you're done."
6thteamsqa.mailinator.com,2021-02-03 11:02:55,"She wanted rainbow hair. That's what she told the hairdresser."
6thteamsqa.mailinator.com,2021-02-03 11:02:55,"She wanted rainbow hair. That's what she told the hairdresser."
1stteamsqa.mailinator.com,2021-02-03 11:12:00,"It's not his fault. I know you're going to want to, but you can't blame him. He really has no idea how it happened."
1stteamsqa.mailinator.com,2021-02-03 11:12:00,"It's not his fault. I know you're going to want to, but you can't blame him. He really has no idea how it happened."
1stteamsqa.mailinator.com,2021-02-03 11:13:03,"She considered the birds to be her friends. She'd put out food for them each morning and then she'd watch as they came to the feeders to gorge themselves for the day. https://www.youtube.com/bird She wondered what they would do if something ever happened to her. Would they miss the meals she provided if she failed to put out the food one morning?"
1stteamsqa.mailinator.com,2021-02-03 11:13:03,"She considered the birds to be her friends. She'd put out food for them each morning and then she'd watch as they came to the feeders to gorge themselves for the day. https://www.youtube.com/bird She wondered what they would do if something ever happened to her. Would they miss the meals she provided if she failed to put out the food one morning?"
Me,2021-02-03 11:23:32,"Hopes and dreams were dashed that day. It should have been expected, but it still came as a shock. The warning signs had been ignored in favor of the possibility, however remote, that it could actually happen"
Me,2021-02-03 11:23:32,"Hopes and dreams were dashed that day. It should have been expected, but it still came as a shock. The warning signs had been ignored in favor of the possibility, however remote, that it could actually happen"
Me,2021-02-03 11:23:39,"That possibility had grown from hope to an undeniable belief it must be destiny. That was until it wasn't and the hopes and dreams came crashing down."
Me,2021-02-03 11:23:39,"That possibility had grown from hope to an undeniable belief it must be destiny. That was until it wasn't and the hopes and dreams came crashing down."
Me,2021-02-03 11:24:27,"In general PAH carcinogenesis involves activation by the enzyme P-450 to diol epoxide metabolites with an epoxide ring in the bay or fjord region. These diol epoxide metabolites are reactive and capable of forming DNA adducts (see the adjacent image)."
Me,2021-02-03 11:24:27,"In general PAH carcinogenesis involves activation by the enzyme P-450 to diol epoxide metabolites with an epoxide ring in the bay or fjord region. These diol epoxide metabolites are reactive and capable of forming DNA adducts (see the adjacent image)."
1stteamsqa.mailinator.com,2021-02-03 11:26:35,"A tidal moat, up to 65 feet (20 m) wide in places,[8] flowed about along the current streets of Fore Street and Castle Moat, and between Northgate and Chandos Street. The moat was filled from Durleigh brook, a tributary of the River Parrett.[9]"
1stteamsqa.mailinator.com,2021-02-03 11:26:35,"A tidal moat, up to 65 feet (20 m) wide in places,[8] flowed about along the current streets of Fore Street and Castle Moat, and between Northgate and Chandos Street. The moat was filled from Durleigh brook, a tributary of the River Parrett.[9]"
1stteamsqa.mailinator.com,2021-02-03 11:26:49,"There is some evidence that there was a weir between the moat and the river.[10] Unusually, the main entrance opposite the Cornhill was built with a pair of adjacent gates and drawbridges."
1stteamsqa.mailinator.com,2021-02-03 11:26:49,"There is some evidence that there was a weir between the moat and the river.[10] Unusually, the main entrance opposite the Cornhill was built with a pair of adjacent gates and drawbridges."
1stteamsqa.mailinator.com,2021-02-03 11:27:01,"Some of the external walls of Bridgwater Castle were demolished in the early 1630s by the then owner Henry Harvey, an attorney of the Court of Common Pleas, to built his new house.[17][16][9] Harvey had purchased it from George Whitmore who had been granted the ownership by Charles I in 1626."
1stteamsqa.mailinator.com,2021-02-03 11:27:01,"Some of the external walls of Bridgwater Castle were demolished in the early 1630s by the then owner Henry Harvey, an attorney of the Court of Common Pleas, to built his new house.[17][16][9] Harvey had purchased it from George Whitmore who had been granted the ownership by Charles I in 1626."
1stteamsqa.mailinator.com,2021-02-03 11:27:16,"During the later part of the 17th century John Harvey continued the development of the site.[16] In 1721 the remains of the castle, the house and the land was sold to James Brydges, 1st Duke of Chandos who developed an industrial centre in the town and demolished the last of the buildings."
1stteamsqa.mailinator.com,2021-02-03 11:27:16,"During the later part of the 17th century John Harvey continued the development of the site.[16] In 1721 the remains of the castle, the house and the land was sold to James Brydges, 1st Duke of Chandos who developed an industrial centre in the town and demolished the last of the buildings."
1stteamsqa.mailinator.com,2021-02-03 13:34:44,"He plummeted into the coast, sinking into it a little bit. After a moment to collect myself, taking a few deep breaths, I was free to finally loot his body—a vulture hungry for the treasure I could smell on him. Out of a covered compartment at his right hip, I pulled out a golden scroll with reverence, cupping it in my hands and brushing my thumbs across its complex network of embossed vines."
1stteamsqa.mailinator.com,2021-02-03 13:34:44,"He plummeted into the coast, sinking into it a little bit. After a moment to collect myself, taking a few deep breaths, I was free to finally loot his body—a vulture hungry for the treasure I could smell on him. Out of a covered compartment at his right hip, I pulled out a golden scroll with reverence, cupping it in my hands and brushing my thumbs across its complex network of embossed vines."
Me,2021-02-03 13:42:10,"One moment, I was sitting in my room watching Youtube; the next, I was standing next to a massive banquet table in a circular room with nine other kids my age, looking just as confused as I was."
