Messaging type: Chat Room
Messaging account: 2ndteamsqa.mailinator.com@bria-x403328.bria-x.net
Create time: 2021-02-02 16:02:11
Recipient(s): 1stteamsqa.mailinator.com@bria-x403328.bria-x.net;3rdteamsqa.mailinator.com@bria-x403328.bria-x.net;4thteamsqa.mailinator.com@bria-x403328.bria-x.net;5thteamsqa.mailinator.com@bria-x403328.bria-x.net;


sender,date,message
4thteamsqa.mailinator.com,2021-02-03 11:19:36,"It was a question of which of the two she preferred. On the one hand, the choice seemed simple."
4thteamsqa.mailinator.com,2021-02-03 11:19:36,"It was a question of which of the two she preferred. On the one hand, the choice seemed simple."
4thteamsqa.mailinator.com,2021-02-03 11:19:42,"The alarm went off and Jake rose awake. Rising early had become a daily ritual, one that he could not fully explain."
4thteamsqa.mailinator.com,2021-02-03 11:19:42,"The alarm went off and Jake rose awake. Rising early had become a daily ritual, one that he could not fully explain."
3rdteamsqa.mailinator.com,2021-02-03 11:22:22,"The alarm went off and Jake rose awake. Rising early had become a daily ritual, one that he could not fully explain."
3rdteamsqa.mailinator.com,2021-02-03 11:22:22,"The alarm went off and Jake rose awake. Rising early had become a daily ritual, one that he could not fully explain."
3rdteamsqa.mailinator.com,2021-02-03 11:22:29,"There were little things that she simply could not stand. The sound of someone tapping their nails on the table."
3rdteamsqa.mailinator.com,2021-02-03 11:22:29,"There were little things that she simply could not stand. The sound of someone tapping their nails on the table."
1stteamsqa.mailinator.com,2021-02-03 11:25:48,"https://en.wikipedia.org/wiki/Bridgwater_Castle

The stone castle was built around 1220 and contributed to the development of the town. It was surrounded by a moat and included a watergate giving access to the quay."
1stteamsqa.mailinator.com,2021-02-03 11:25:48,"https://en.wikipedia.org/wiki/Bridgwater_Castle

The stone castle was built around 1220 and contributed to the development of the town. It was surrounded by a moat and included a watergate giving access to the quay."
1stteamsqa.mailinator.com,2021-02-03 11:26:02,"The castle was built early in the 13th century by William Brewer, like several other castle-builders of the period, an exceptionally wealthy man.[1] He was granted the lordship of the Manor of Bridgwater by King John in 1201,[2] and founded Bridgwater Friary.[3]"
1stteamsqa.mailinator.com,2021-02-03 11:26:02,"The castle was built early in the 13th century by William Brewer, like several other castle-builders of the period, an exceptionally wealthy man.[1] He was granted the lordship of the Manor of Bridgwater by King John in 1201,[2] and founded Bridgwater Friary.[3]"
1stteamsqa.mailinator.com,2021-02-03 11:26:09,"Bridgwater Castle was a substantial structure built in Old Red Sandstone from Wembdon with other stone being transported from Downend in the Polden Hills and Ham Hill by boat.[7] The site covered 8 or 9 acres (32,000 to 36,000 m²)."
1stteamsqa.mailinator.com,2021-02-03 11:26:09,"Bridgwater Castle was a substantial structure built in Old Red Sandstone from Wembdon with other stone being transported from Downend in the Polden Hills and Ham Hill by boat.[7] The site covered 8 or 9 acres (32,000 to 36,000 m²)."
3rdteamsqa.mailinator.com,2021-02-03 11:28:12,"Erec (also Erek, Ereck) is a Middle High German poem written in rhyming couplets by Hartmann von Aue. It is thought to be the earliest of Hartmann's narrative works and dates from around 1185."
3rdteamsqa.mailinator.com,2021-02-03 11:28:12,"Erec (also Erek, Ereck) is a Middle High German poem written in rhyming couplets by Hartmann von Aue. It is thought to be the earliest of Hartmann's narrative works and dates from around 1185."
3rdteamsqa.mailinator.com,2021-02-03 11:28:21,"An adaptation of Chrétien de Troyes' Erec et Enide, it is the first Arthurian Romance in German.

Erec tells the story of how Erec, a knight at King Arthur's court, wins the hand of the beautiful Enite, but then through excessive devotion to his wife, neglects his duties as a knight and lord."
3rdteamsqa.mailinator.com,2021-02-03 11:28:21,"An adaptation of Chrétien de Troyes' Erec et Enide, it is the first Arthurian Romance in German.

Erec tells the story of how Erec, a knight at King Arthur's court, wins the hand of the beautiful Enite, but then through excessive devotion to his wife, neglects his duties as a knight and lord."
3rdteamsqa.mailinator.com,2021-02-03 11:28:35,"In MS A the text which corresponds to Chrétien's poem is preceded without a break by a separate (and incomplete) Arthurian episode, now called Der Mantel ("The Cloak"), which involves a chastity test with a magic cloak — of all the ladies in the court, Enite comes closest to winning. This episode is introduced in the manuscript by a single heading which treats Der Mantel and Erec as constituting a single work. Der Mantel has its source not in Chrétien but in the Old French fabliau Du manteau mautaillié.[9]"
3rdteamsqa.mailinator.com,2021-02-03 11:28:35,"In MS A the text which corresponds to Chrétien's poem is preceded without a break by a separate (and incomplete) Arthurian episode, now called Der Mantel ("The Cloak"), which involves a chastity test with a magic cloak — of all the ladies in the court, Enite comes closest to winning. This episode is introduced in the manuscript by a single heading which treats Der Mantel and Erec as constituting a single work. Der Mantel has its source not in Chrétien but in the Old French fabliau Du manteau mautaillié.[9]"
3rdteamsqa.mailinator.com,2021-02-03 11:28:49,"After a prologue, the narrative opens with a Pentecost celebration at the court of King Arthur, where a large number of noble guests have gathered. On the third day of the feast, everyone is waiting after morning Mass to start the meal."
3rdteamsqa.mailinator.com,2021-02-03 11:28:49,"After a prologue, the narrative opens with a Pentecost celebration at the court of King Arthur, where a large number of noble guests have gathered. On the third day of the feast, everyone is waiting after morning Mass to start the meal."
4thteamsqa.mailinator.com,2021-02-03 11:30:25,"Sometimes that's just the way it has to be. Sure, there were probably other options, but he didn't let them enter his mind."
4thteamsqa.mailinator.com,2021-02-03 11:30:25,"Sometimes that's just the way it has to be. Sure, there were probably other options, but he didn't let them enter his mind."
4thteamsqa.mailinator.com,2021-02-03 11:30:32,"He took a sip of the drink. He wasn't sure whether he liked it or not, but at this moment it didn't matter."
4thteamsqa.mailinator.com,2021-02-03 11:30:32,"He took a sip of the drink. He wasn't sure whether he liked it or not, but at this moment it didn't matter."
4thteamsqa.mailinator.com,2021-02-03 11:31:21,"After the 1996 election, Ngari remained Minister of Defense, Security, and Immigration, and he was assigned additional responsibility for posts and telecommunications on 28 January 1997.[11] However, he was moved to the position of Minister of Transport and the Merchant Marine[7][12] on 25 January 1999."
4thteamsqa.mailinator.com,2021-02-03 11:31:21,"After the 1996 election, Ngari remained Minister of Defense, Security, and Immigration, and he was assigned additional responsibility for posts and telecommunications on 28 January 1997.[11] However, he was moved to the position of Minister of Transport and the Merchant Marine[7][12] on 25 January 1999."
4thteamsqa.mailinator.com,2021-02-03 11:32:01,"The 2021 Italian government crisis is an ongoing political event in Italy that occurred in January 2021. It includes the events that follow the announcement of Matteo Renzi, leader of Italia Viva (IV) and former Prime Minister, that he would revoke IV's support to the government of Giuseppe Conte.[1]"
4thteamsqa.mailinator.com,2021-02-03 11:32:01,"The 2021 Italian government crisis is an ongoing political event in Italy that occurred in January 2021. It includes the events that follow the announcement of Matteo Renzi, leader of Italia Viva (IV) and former Prime Minister, that he would revoke IV's support to the government of Giuseppe Conte.[1]"
